pdf_id,title,committee_name,conf_date,url
418회-5차-법제사법위원회-2024-09-11,제22대국회 제418회 5차 법제사법위원회,법제사법위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054090&fileId=0000121379&deviceGubun=P&imsiYn=P
418회-1차-외교통일위원회-2024-09-11,제22대국회 제418회 1차 외교통일위원회,외교통일위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054095&fileId=0000121390&deviceGubun=P&imsiYn=P
418회-2차-예산결산특별위원회-2024-09-03,제22대국회 제418회 2차 예산결산특별위원회,예산결산특별위원회,2024-09-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054055&fileId=0000121206&deviceGubun=P&imsiYn=P
418회-1차-정보통신방송법안심사소위원회-2024-09-03,제22대국회 제418회 1차 정보통신방송법안심사소위원회,정보통신방송법안심사소위원회,2024-09-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054057&fileId=0000121210&deviceGubun=P&imsiYn=P
418회-1차-예산결산심사소위원회-2024-09-03,제22대국회 제418회 1차 예산결산심사소위원회,예산결산심사소위원회,2024-09-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054040&fileId=0000121148&deviceGubun=P&imsiYn=P
418회-1차-교육위원회-2024-09-03,제22대국회 제418회 1차 교육위원회,교육위원회,2024-09-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054056&fileId=0000121208&deviceGubun=P&imsiYn=P
418회-1차-국토교통위원회-2024-09-03,제22대국회 제418회 1차 국토교통위원회,국토교통위원회,2024-09-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054054&fileId=0000121204&deviceGubun=P&imsiYn=P
420회-1차-정보위원회-2025-01-13,제22대국회 제420회 1차 정보위원회,정보위원회,2025-01-13,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054681&fileId=0000124099&deviceGubun=P&imsiYn=P
420회-2차-행정안전위원회-2025-01-13,제22대국회 제420회 2차 행정안전위원회,행정안전위원회,2025-01-13,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054683&fileId=0000124109&deviceGubun=P&imsiYn=P
420회-4차-법제사법위원회-2025-01-13,제22대국회 제420회 4차 법제사법위원회,법제사법위원회,2025-01-13,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054687&fileId=0000124125&deviceGubun=P&imsiYn=P
418회-2차-법안심사제2소위원회-2024-12-03,제22대국회 제418회 2차 법안심사제2소위원회,법안심사제2소위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054508&fileId=0000123370&deviceGubun=P&imsiYn=P
418회-3차-교통법안심사소위원회-2024-12-03,제22대국회 제418회 3차 교통법안심사소위원회,교통법안심사소위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054511&fileId=0000123376&deviceGubun=P&imsiYn=P
418회-3차-고용노동법안심사소위원회-2024-12-03,제22대국회 제418회 3차 고용노동법안심사소위원회,고용노동법안심사소위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054497&fileId=0000123309&deviceGubun=P&imsiYn=P
418회-3차-법안심사제1소위원회-2024-12-03,제22대국회 제418회 3차 법안심사제1소위원회,법안심사제1소위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054506&fileId=0000123366&deviceGubun=P&imsiYn=P
418회-2차-법안심사제1소위원회-2024-12-03,제22대국회 제418회 2차 법안심사제1소위원회,법안심사제1소위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054517&fileId=0000123388&deviceGubun=P&imsiYn=P
418회-9차-정무위원회-2024-12-03,제22대국회 제418회 9차 정무위원회,정무위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054504&fileId=0000123323&deviceGubun=P&imsiYn=P
418회-18차-법제사법위원회-2024-12-03,제22대국회 제418회 18차 법제사법위원회,법제사법위원회,2024-12-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054492&fileId=0000123299&deviceGubun=P&imsiYn=P
418회-6차-예산안등조정소위원회-2024-11-25,제22대국회 제418회 6차 예산안등조정소위원회,예산안등조정소위원회,2024-11-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054446&fileId=0000123145&deviceGubun=P&imsiYn=P
418회-13차-문화체육관광위원회-2024-11-25,제22대국회 제418회 13차 문화체육관광위원회,문화체육관광위원회,2024-11-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054419&fileId=0000123091&deviceGubun=P&imsiYn=P
418회-2차-체육관광법안심사소위원회-2024-11-25,제22대국회 제418회 2차 체육관광법안심사소위원회,체육관광법안심사소위원회,2024-11-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054456&fileId=0000123199&deviceGubun=P&imsiYn=P
418회-1차-법안심사제1소위원회-2024-11-25,제22대국회 제418회 1차 법안심사제1소위원회,법안심사제1소위원회,2024-11-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054448&fileId=0000123183&deviceGubun=P&imsiYn=P
